24/11/2022;Estádio Nacional Lusail;BRA;SRB;98
0;BRA;1;E
0;BRA;2;E
0;BRA;4;E
0;BRA;3;E
0;BRA;6;E
0;BRA;5;E
0;BRA;7;E
0;BRA;11;E
0;BRA;10;E
0;BRA;20;E
0;BRA;9;E
62;BRA;9;G
73;BRA;9;G
75;BRA;7;S
75;BRA;8;E
75;BRA;20;S
75;BRA;21;E
79;BRA;10;S
79;BRA;19;E
79;BRA;9;S
79;BRA;18;E
87;BRA;11;S
87;BRA;26;E
0;SRB;23;E
0;SRB;5;E
0;SRB;4;E
0;SRB;2;E
0;SRB;8;E
0;SRB;16;E
0;SRB;20;E
0;SRB;14;E
0;SRB;10;E
0;SRB;25;E
0;SRB;9;E
7;SRB;2;A
49;SRB;8;A
57;SRB;8;S
57;SRB;24;E
57;SRB;14;S
57;SRB;7;E
64;SRB;16;A
66;SRB;16;S
66;SRB;22;E
66;SRB;25;S
66;SRB;18;E
83;SRB;9;S
83;SRB;6;E
